item,ave_score,ave_discounted_score
1,0.8410424163020863,0.7980424163020866
3,0.4045420464261989,0.39414204642619843
6,0.6127669319327508,0.5923669319327509
47,0.8177361410717325,0.777136141071731
50,0.8253584647750369,0.7845584647750367
70,0.4436518642872343,0.43265186428723434
101,0.20218756975469368,0.1975875697546938
110,0.835648902622578,0.7882489026225777
151,0.3650541089085854,0.35625410890858583
157,0.12509038878347079,0.12289038878347094
163,0.4905155946491778,0.47731559464917733
216,0.39741107979025947,0.38761107979025905
223,0.658014029408777,0.637214029408776
231,0.6408658875242363,0.6142658875242342
235,0.5315859956108143,0.5175859956108136
260,0.8323151909548869,0.7821151909548862
296,0.8690459237591367,0.807645923759137
316,0.617722806011413,0.5897228060114135
333,0.41472766939445727,0.40472766939445654
349,0.4865840903273018,0.46458409032730213
356,0.8881693222771656,0.822369322277166
362,0.30361181231153733,0.2968118123115376
367,0.7231541730646047,0.6917541730646045
423,0.11081332432425017,0.10881332432425023
441,0.3380706036393942,0.32967060363939427
457,0.756526136977796,0.718526136977797
480,0.8153487008475145,0.7677487008475136
500,0.6874084779341386,0.658608477934138
527,0.8642883711138362,0.8202883711138349
543,0.36678983456018605,0.35858983456018606
552,0.42748584532035566,0.41528584532035495
553,0.4817306342145111,0.4687306342145105
590,0.7281546278304026,0.6953546278304031
592,0.6868498204809126,0.6490498204809129
593,0.8758736276632139,0.8200736276632129
596,0.3988755209607971,0.3868755209607972
608,0.7995784871310428,0.763378487131043
648,0.7623528128020597,0.7299528128020589
661,0.41132698132016915,0.40152698132017006
673,0.4666493347763757,0.4560493347763757
733,0.700360738166297,0.6761607381662958
736,0.6803308435754221,0.6557308435754224
780,0.7981947009063398,0.7577947009063389
804,0.10857328511842365,0.10697328511842366
919,0.5678674609665556,0.5494674609665554
923,0.5051288749318195,0.4913288749318195
940,0.09902493724479268,0.09742493724479258
943,0.11357768812095796,0.11217768812095807
954,0.2311851834328504,0.22758518343285047
1009,0.11591195956134234,0.11411195956134233
1023,0.18522059262276333,0.18262059262276362
1024,0.08537433700757567,0.08417433700757554
1025,0.2702500438349548,0.26525004383495393
1029,0.33070953592171515,0.3237095359217151
1030,0.1259389668882197,0.12293896688821969
1031,0.22326828945306368,0.21846828945306382
1032,0.3262098526419436,0.3182098526419439
1042,0.3665264775087112,0.35812647750871085
1049,0.20921848718575606,0.20501848718575585
1060,0.33092840921707134,0.3237284092170715
1073,0.7155800922456522,0.6917800922456518
1080,0.6250520462892497,0.6072520462892506
1089,0.6507983888158584,0.6245983888158584
1090,0.4915689763098022,0.47896897630980245
1092,0.4145917509109356,0.40519175091093584
1097,0.6814610633349231,0.657061063334922
1127,0.43232183391518714,0.41992183391518684
1136,0.670183089199584,0.6429830891995846
1196,0.7849704859923721,0.7427704859923722
1197,0.721194948363892,0.6927949483638918
1198,0.7776001264666944,0.737600126466694
1206,0.6400519033332545,0.6160519033332544
1208,0.6390680810667596,0.6176680810667564
1210,0.795179404617783,0.7559794046177827
1213,0.6430032868608235,0.617803286860824
1214,0.6898930548188577,0.6606930548188581
1219,0.5410245351525304,0.5244245351525295
1220,0.5587858693724161,0.5419858693724169
1222,0.5766455962786645,0.5562455962786647
1224,0.18922653088729569,0.18542653088729585
1226,0.07282527174528462,0.07162527174528471
1240,0.6893426772213075,0.6631426772213082
1256,0.16550688456104037,0.16090688456104055
1258,0.6445706441801705,0.62277064418017
1265,0.7212283223061717,0.6926283223061709
1270,0.7562529577892149,0.7220529577892139
1275,0.2971815833202164,0.2875815833202158
1278,0.5021731706190478,0.4883731706190474
1282,0.3826366203717783,0.37203662037177904
1291,0.7162093567546554,0.6882093567546553
1298,0.24214463995121704,0.23754463995121688
1348,0.1690108744928137,0.16581087449281418
1377,0.417981582627045,0.405981582627045
1396,0.37399878608529946,0.36479878608529986
1408,0.34651408696632285,0.33871408696632266
1445,0.05136488881883779,0.0499648888188378
1473,0.03398526505272437,0.033785265052724445
1500,0.40156276728299345,0.38976276728299303
1517,0.6267714526016414,0.6067714526016414
